Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
0.716	3.459	-24.686	0.295	-0.133	-0.012	-15005.000
1.526	3.430	-24.543	0.294	-0.136	-0.011	1.000
4.958	3.306	-24.848	0.293	0.087	0.079	28.000
0.012	1.687	-24.643	0.388	-0.103	0.049	68.000
4.329	1.057	-24.987	0.383	0.034	0.026	158.000
3.316	2.205	-24.035	0.410	-0.005	0.032	288.000
3.619	1.574	-25.186	0.410	-0.019	0.068	435.000
3.522	1.255	-23.805	0.422	-0.012	0.035	648.000
3.715	0.722	-25.307	0.430	-0.039	0.058	873.000
3.340	0.305	-24.663	0.443	0.007	0.040	1104.000
3.333	0.299	-25.663	0.456	-0.005	0.032	1137.000
2.942	0.294	-25.653	0.471	0.034	0.044	1716.000
3.598	0.314	-26.396	0.472	0.028	0.042	2055.000
3.371	0.116	-26.192	0.476	0.038	0.057	2429.000
4.049	0.133	-27.157	0.474	0.054	0.066	2757.000
3.419	-0.116	-27.043	0.482	0.071	0.046	2966.000
4.969	-0.167	-27.270	0.484	0.121	0.063	3765.000
3.381	-0.099	-27.832	0.486	0.139	0.061	4212.000
3.175	0.122	-27.728	0.486	0.134	0.062	4601.000
5.014	0.175	-28.079	0.478	0.183	0.050	5111.000
3.430	-0.098	-28.177	0.480	0.172	0.065	5475.000
4.354	0.127	-28.207	0.473	0.174	0.029	5921.000
2.082	0.183	-27.310	0.474	0.159	0.064	6145.000
3.032	0.401	-28.044	0.483	0.159	0.049	6145.000
2.395	0.240	-27.913	0.486	0.169	0.036	6896.000
2.521	0.205	-27.127	0.473	0.175	0.050	7124.000
2.629	-0.157	-26.512	0.465	0.169	0.053	7309.000
1.996	-0.320	-24.632	0.451	0.203	0.028	7381.000
2.240	-0.151	-26.198	0.457	0.183	0.047	7381.000
0.250	-0.568	-25.888	0.452	0.214	0.035	7816.000
6.326	0.637	-27.353	0.456	0.115	0.089	7902.000
-1.286	-0.973	-24.112	0.447	0.227	0.026	7976.000
3.454	-0.163	-25.004	0.441	0.162	0.022	7990.000
-0.230	-0.509	-22.696	0.436	0.130	0.035	7999.000
-0.247	-0.862	-23.038	0.435	0.032	-0.029	7989.000
-1.946	-0.443	-23.437	0.421	0.076	-0.087	7886.000
-3.196	-0.145	-23.403	0.409	0.018	-0.034	7808.000
0.714	0.125	-22.800	0.407	-0.019	-0.018	7645.000
-1.869	-0.627	-22.894	0.398	0.018	-0.058	7512.000
-2.309	0.210	-22.229	0.398	-0.015	-0.033	7289.000
-1.349	0.519	-21.670	0.388	-0.042	-0.021	7053.000
-2.289	0.175	-21.765	0.385	-0.051	-0.051	7053.000
-2.114	-0.010	-20.758	0.376	-0.058	-0.024	6541.000
-3.279	-0.242	-20.097	0.374	-0.062	-0.044	6221.000
-2.651	-0.038	-20.799	0.386	-0.087	-0.033	6017.000
-2.814	-0.012	-19.731	0.369	-0.111	-0.020	5439.000
-2.920	-0.630	-19.516	0.364	-0.098	-0.051	5338.000
-1.916	0.074	-19.006	0.366	-0.111	-0.056	4611.000
-2.872	-0.202	-20.176	0.374	-0.099	-0.023	4201.000
-3.879	-0.335	-20.638	0.361	-0.130	-0.023	3719.000
0.347	0.447	-18.880	0.354	-0.112	-0.044	3317.000
-2.582	-0.354	-19.403	0.367	-0.156	-0.033	2735.000
-2.257	-0.306	-18.804	0.372	-0.165	-0.037	2372.000
-3.181	-0.491	-19.873	0.380	-0.181	-0.024	1984.000
-2.509	-0.630	-17.906	0.370	-0.182	-0.028	1707.000
-2.230	-0.550	-19.907	0.389	-0.198	-0.025	1306.000
-1.692	0.300	-20.777	0.407	-0.201	-0.030	1067.000
-1.918	-0.212	-20.518	0.390	-0.192	-0.040	833.000
-1.107	0.520	-20.492	0.394	-0.216	-0.033	682.000
-1.436	-0.082	-21.966	0.386	-0.223	-0.027	481.000
-1.616	0.130	-21.461	0.390	-0.216	-0.029	288.000
-3.230	-0.560	-23.476	0.394	-0.160	-0.050	210.000
0.538	2.504	-20.883	0.394	-0.248	-0.023	210.000
-4.233	0.299	-23.249	0.392	-0.199	-0.022	19.000
-0.399	0.488	-22.980	0.392	-0.216	-0.042	0.000
-0.133	1.239	-23.251	0.400	-0.198	-0.013	2.000
3.633	1.351	-24.897	0.401	-0.023	0.042	26.000
3.350	1.348	-25.513	0.408	0.010	0.036	44.000
-1.188	-0.183	-27.249	0.403	0.015	0.048	44.000
5.746	1.569	-25.210	0.427	-0.116	0.041	270.000
1.700	0.383	-28.085	0.438	-0.056	0.056	493.000
3.416	1.590	-25.990	0.443	-0.050	0.031	546.000
2.329	0.843	-27.262	0.448	-0.030	0.048	904.000
3.116	0.832	-25.790	0.458	-0.008	0.036	1126.000
2.778	0.278	-27.144	0.473	-0.008	0.055	1421.000
3.240	0.221	-27.597	0.489	0.024	0.048	1773.000
3.405	0.017	-28.103	0.494	0.021	0.058	2142.000
4.548	0.252	-27.937	0.498	0.060	0.044	2484.000
4.151	0.408	-29.315	0.497	0.068	0.074	2811.000
4.248	0.196	-28.564	0.506	0.093	0.064	3409.000
2.570	0.428	-29.596	0.513	0.080	0.058	3784.000
5.334	0.513	-28.899	0.499	0.143	0.056	4370.000
1.111	0.770	-28.973	0.498	0.078	0.060	4835.000
3.909	0.152	-28.448	0.500	0.147	0.064	5225.000
2.874	0.320	-30.339	0.508	0.146	0.050	5580.000
4.693	0.778	-29.092	0.491	0.180	0.043	6006.000
4.157	-0.180	-27.779	0.484	0.194	0.047	6306.000
3.862	-0.098	-27.569	0.481	0.195	0.052	6572.000
4.445	0.387	-27.662	0.488	0.215	0.041	6861.000
3.179	0.152	-28.067	0.482	0.216	0.046	6861.000
3.334	-0.114	-28.526	0.487	0.229	0.046	7351.000
3.162	0.048	-26.873	0.483	0.228	0.035	7582.000
3.061	-0.373	-25.934	0.470	0.181	0.047	7719.000
3.874	-0.755	-25.272	0.466	0.214	0.021	7845.000
3.057	0.503	-27.023	0.449	0.148	0.063	7845.000
1.340	-0.469	-24.612	0.461	0.192	0.019	7845.000
1.901	-0.048	-26.101	0.453	0.142	0.056	7999.000
1.037	0.013	-25.652	0.458	0.149	0.016	7999.000
-1.140	-0.467	-23.915	0.448	0.046	-0.046	7966.000
-1.081	-0.516	-23.446	0.431	0.066	-0.077	7913.000
0.978	0.110	-23.402	0.417	0.004	-0.027	7827.000
0.696	0.090	-23.760	0.418	0.019	-0.022	7720.000
-2.299	-0.261	-22.825	0.403	0.029	-0.044	7518.000
-1.522	0.025	-23.006	0.406	-0.007	-0.039	7340.000
-1.261	0.043	-22.419	0.403	-0.047	-0.018	7079.000
-2.778	-0.316	-22.002	0.390	-0.066	-0.031	6881.000
-2.722	0.363	-20.831	0.390	-0.057	-0.035	6682.000
-2.581	-0.376	-21.722	0.387	-0.078	-0.035	6191.000
-2.263	-0.135	-20.343	0.388	-0.064	-0.030	5879.000
-2.021	-0.502	-22.462	0.395	-0.069	-0.040	5763.000
-2.246	-0.103	-19.757	0.378	-0.079	-0.053	5763.000
-1.803	0.171	-19.467	0.363	-0.073	-0.046	4595.000
-1.115	-0.204	-19.054	0.350	-0.093	-0.036	4187.000
-3.305	-0.068	-19.867	0.360	-0.147	-0.027	3609.000
-0.673	-0.075	-19.658	0.364	-0.113	-0.034	3242.000
-2.797	-0.055	-18.032	0.362	-0.174	-0.025	2740.000
-2.229	-0.638	-18.966	0.375	-0.151	-0.038	2400.000
-2.633	0.126	-20.801	0.386	-0.198	-0.027	2028.000
-2.148	-0.575	-19.672	0.384	-0.176	-0.022	1670.000
-2.388	-0.202	-20.111	0.400	-0.189	-0.038	1580.000
-2.273	-0.314	-19.938	0.386	-0.186	-0.027	1580.000
-1.448	-0.081	-18.934	0.375	-0.176	-0.036	802.000
-0.390	0.203	-21.417	0.399	-0.197	-0.028	685.000
-0.968	0.470	-21.673	0.390	-0.215	-0.028	419.000
-0.694	1.360	-21.259	0.405	-0.205	-0.037	295.000
-4.637	-1.071	-25.027	0.403	-0.154	-0.038	180.000
0.263	2.700	-23.197	0.410	-0.205	-0.050	117.000
-4.270	-0.157	-24.677	0.403	-0.193	0.001	117.000
0.354	1.688	-23.075	0.408	-0.241	-0.037	0.000
2.256	1.044	-24.835	0.405	-0.087	0.004	8.000
3.089	1.349	-25.220	0.419	-0.026	0.049	72.000
