Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
0.760	1.860	-20.880	0.063	-0.259	-0.023	759.000
0.769	1.857	-20.789	0.064	-0.258	-0.023	759.000
0.793	1.902	-20.697	0.063	-0.257	-0.022	759.000
0.776	1.928	-20.571	0.062	-0.256	-0.022	759.000
0.791	1.884	-20.539	0.062	-0.255	-0.022	759.000
0.790	1.846	-20.459	0.062	-0.255	-0.023	759.000
0.792	1.803	-20.385	0.062	-0.256	-0.023	759.000
0.784	1.856	-20.492	0.062	-0.253	-0.023	759.000
0.780	1.867	-20.382	0.061	-0.254	-0.022	759.000
1.805	1.838	-20.307	0.062	-0.238	-0.022	9.000
0.048	0.877	-20.449	0.099	-0.242	-0.003	17.000
3.471	0.390	-20.665	0.088	-0.196	0.007	118.000
-2.201	-0.668	-21.220	0.108	-0.177	-0.009	220.000
5.066	-0.167	-19.871	0.105	-0.220	0.038	220.000
3.331	0.543	-20.945	0.109	-0.216	0.008	220.000
4.105	0.446	-20.926	0.109	-0.200	0.015	707.000
3.144	0.461	-22.006	0.113	-0.210	0.006	881.000
3.003	0.020	-20.911	0.105	-0.192	0.013	881.000
2.686	-0.166	-21.652	0.109	-0.182	0.015	1440.000
2.499	0.045	-21.096	0.108	-0.187	0.012	1691.000
3.267	0.022	-21.996	0.108	-0.165	0.019	2193.000
2.419	0.433	-21.778	0.113	-0.172	0.012	2439.000
3.817	-0.305	-22.305	0.108	-0.127	0.015	2894.000
2.344	0.404	-21.770	0.113	-0.160	0.011	3396.000
3.099	-0.238	-22.747	0.106	-0.111	0.007	3808.000
2.178	0.379	-21.987	0.123	-0.131	0.012	4284.000
3.069	0.364	-21.187	0.104	-0.091	-0.007	4586.000
2.598	-0.029	-22.093	0.119	-0.095	0.023	5310.000
2.130	0.203	-22.743	0.108	-0.080	0.006	5619.000
2.977	0.585	-22.660	0.117	-0.061	-0.000	5619.000
2.635	0.355	-22.881	0.120	-0.046	0.015	5619.000
4.558	-0.232	-23.205	0.112	-0.045	0.002	6721.000
4.033	0.013	-23.221	0.118	-0.005	0.020	6871.000
4.494	0.257	-21.792	0.111	0.000	0.008	7228.000
3.566	-0.202	-22.327	0.107	0.010	0.017	7368.000
2.975	0.203	-20.832	0.107	-0.011	0.010	7368.000
2.451	0.887	-20.742	0.107	-0.014	-0.005	7690.000
