Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
0.938	3.315	-22.575	-0.009	0.073	0.006	0.000
0.777	3.342	-22.595	-0.011	0.067	0.008	0.000
0.744	3.410	-22.543	-0.007	0.063	0.008	0.000
0.824	3.334	-22.430	-0.010	0.068	0.008	0.000
0.901	3.374	-22.335	-0.003	0.074	0.008	0.000
0.813	3.379	-22.247	-0.013	0.070	0.008	0.000
0.748	3.367	-22.390	-0.012	0.068	0.007	0.000
0.778	3.344	-22.332	-0.012	0.068	0.008	13421.000
0.838	3.337	-22.207	-0.012	0.074	0.007	13421.000
0.864	3.340	-22.498	-0.011	0.072	0.008	0.000
0.720	3.403	-22.303	-0.012	0.070	0.006	0.000
3.465	3.312	-22.462	-0.016	0.113	0.009	16.000
3.553	1.274	-22.746	0.039	0.106	0.007	59.000
5.018	0.195	-22.493	0.054	0.146	0.007	131.000
5.057	0.354	-20.495	0.056	0.172	0.022	249.000
3.375	-0.279	-22.768	0.070	0.138	-0.004	308.000
4.581	0.038	-23.419	0.083	0.156	0.017	570.000
5.249	-0.410	-22.477	0.072	0.178	0.002	797.000
3.508	-0.012	-22.105	0.075	0.159	0.008	954.000
3.425	-0.139	-21.126	0.069	0.132	0.014	1257.000
2.430	-0.165	-21.162	0.069	0.163	-0.000	1428.000
3.456	-0.118	-21.948	0.068	0.177	0.015	1777.000
3.150	-0.159	-22.508	0.071	0.186	0.016	2174.000
3.973	0.060	-22.668	0.075	0.220	0.004	2612.000
3.420	-0.179	-22.095	0.073	0.181	0.017	3138.000
4.290	-0.309	-21.242	0.067	0.223	0.004	3242.000
3.657	0.027	-22.573	0.068	0.236	0.016	4111.000
3.963	-0.426	-22.757	0.071	0.269	0.027	4490.000
3.027	-0.373	-23.146	0.078	0.256	-0.037	5107.000
4.621	0.195	-22.550	0.076	0.319	0.081	5483.000
4.015	-0.349	-23.874	0.078	0.312	-0.036	5483.000
5.171	-0.128	-23.350	0.065	0.341	0.033	5483.000
4.694	-0.070	-22.414	0.072	0.333	-0.013	6540.000
