Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
0.408	0.277	-19.870	0.112	0.060	0.000	33.000
0.452	0.254	-19.580	0.113	0.062	-0.000	0.000
0.769	0.227	-19.684	0.112	0.056	0.000	0.000
2.179	0.007	-18.559	0.114	0.092	0.006	36.000
1.594	0.059	-19.185	0.114	0.151	0.017	81.000
3.778	-0.616	-19.277	0.114	0.114	0.024	136.000
2.682	-0.385	-19.262	0.119	0.055	0.012	136.000
4.103	-0.160	-20.035	0.114	0.104	0.008	473.000
0.972	-0.180	-19.993	0.124	0.132	0.020	613.000
4.843	0.211	-19.167	0.121	0.105	-0.013	883.000
1.839	0.057	-20.404	0.124	0.156	0.025	1091.000
3.472	-0.283	-19.887	0.124	0.141	0.012	1393.000
3.387	-0.282	-20.702	0.126	0.164	0.035	1649.000
3.491	-0.461	-20.349	0.121	0.179	-0.028	1960.000
2.143	0.190	-20.561	0.129	0.195	0.051	2470.000
2.816	-0.293	-20.708	0.123	0.207	-0.007	2765.000
3.322	-0.012	-20.650	0.132	0.191	-0.015	3111.000
4.351	-0.448	-20.687	0.120	0.212	0.063	3676.000
3.020	-0.303	-20.808	0.124	0.237	-0.043	4149.000
2.603	-0.281	-20.574	0.125	0.217	0.063	4733.000
4.632	-0.725	-20.788	0.114	0.286	-0.014	5115.000
1.782	-0.378	-21.033	0.130	0.273	0.009	5471.000
4.319	-0.300	-20.984	0.122	0.296	0.027	5736.000
3.644	-0.671	-20.133	0.128	0.261	0.023	5736.000
2.249	-0.790	-20.169	0.120	0.270	-0.040	6631.000
1.844	-0.551	-20.549	0.125	0.255	0.026	6724.000
2.741	0.199	-19.729	0.128	0.266	0.009	6994.000
3.579	-0.083	-19.616	0.120	0.266	0.044	6994.000
2.185	-0.169	-20.347	0.120	0.302	-0.044	7537.000
4.449	-0.292	-19.378	0.122	0.280	0.053	7673.000
8.193	0.454	-20.523	0.127	0.227	-0.002	7816.000
0.210	-0.732	-19.464	0.119	0.387	0.011	7906.000
7.028	0.149	-20.061	0.120	0.260	0.000	7925.000
1.220	-0.719	-21.031	0.122	0.264	0.005	8000.000
3.372	-0.351	-17.400	0.121	0.273	0.007	7987.000
-3.677	-0.456	-21.187	0.127	0.158	-0.007	7987.000
-1.982	0.804	-19.003	0.114	0.097	-0.011	7861.000
-9.598	-1.777	-20.321	0.100	0.216	-0.039	7829.000
-0.515	0.916	-19.465	0.113	0.149	-0.012	7622.000
-3.576	-0.205	-20.969	0.104	0.169	-0.027	7622.000
-0.455	0.170	-16.086	0.106	0.174	-0.024	7622.000
-2.337	0.330	-18.544	0.110	0.179	-0.028	7096.000
-1.083	-0.059	-16.709	0.104	0.153	-0.009	6733.000
-1.724	0.214	-17.316	0.102	0.140	-0.007	6733.000
-1.414	-0.512	-15.708	0.099	0.120	0.005	6733.000
-1.995	-0.351	-16.028	0.097	0.116	-0.061	5843.000
-1.456	-0.394	-15.201	0.102	0.076	0.014	5547.000
-1.746	-0.108	-16.159	0.094	0.123	-0.013	4899.000
-1.826	-0.596	-16.731	0.099	0.078	-0.019	4545.000
-2.340	0.189	-16.186	0.093	0.056	-0.074	3913.000
-3.136	-0.033	-16.704	0.108	0.079	0.060	3571.000
-0.623	-0.986	-16.159	0.095	0.070	-0.098	2956.000
-3.018	0.148	-16.372	0.113	0.038	0.046	2956.000
-2.622	0.119	-15.825	0.087	0.021	-0.082	2106.000
-2.757	-0.130	-15.911	0.103	0.009	0.048	1935.000
-3.214	0.383	-18.112	0.112	-0.003	-0.045	1485.000
-1.711	0.160	-17.376	0.106	0.028	-0.009	1215.000
-1.978	-0.016	-17.913	0.115	0.056	-0.018	993.000
-0.972	0.320	-19.778	0.122	0.021	-0.014	725.000
-1.258	-0.283	-19.767	0.124	0.037	-0.026	578.000
-1.453	-0.047	-19.551	0.129	0.009	-0.008	454.000
0.690	-0.618	-19.332	0.121	0.027	-0.020	454.000
-1.299	-0.359	-22.715	0.128	0.049	-0.017	106.000
-0.312	-0.100	-18.173	0.119	-0.026	-0.013	38.000
-3.838	0.586	-19.219	0.123	-0.023	-0.010	4.000
-3.161	-0.494	-17.490	0.108	-0.003	-0.013	1.000
-0.632	0.143	-20.112	0.121	0.012	-0.013	1.000
