Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
3.551	6.672	-21.954	-0.027	-0.208	-0.070	473.000
3.543	6.666	-21.745	-0.026	-0.206	-0.071	0.000
5.566	6.801	-21.757	-0.031	-0.188	-0.053	21.000
6.669	4.758	-21.786	0.024	-0.091	-0.026	52.000
16.296	5.132	-22.082	0.015	0.007	0.013	149.000
11.355	2.024	-21.756	0.058	-0.004	0.044	230.000
15.321	3.665	-19.670	0.093	0.104	0.035	230.000
13.631	2.469	-21.701	0.076	0.025	0.073	604.000
13.878	2.132	-22.261	0.085	0.086	0.039	834.000
16.396	1.615	-21.987	0.081	0.087	0.079	834.000
17.085	2.198	-24.110	0.082	0.107	0.056	1346.000
15.621	2.685	-22.658	0.090	0.082	0.060	1598.000
15.598	1.536	-23.447	0.098	0.082	0.074	1980.000
15.309	2.128	-23.216	0.109	0.108	0.051	2336.000
15.831	1.834	-22.993	0.100	0.130	0.048	2718.000
13.347	1.906	-22.912	0.112	0.084	0.075	3153.000
16.653	1.220	-24.522	0.106	0.150	0.014	3653.000
13.922	1.961	-23.932	0.098	0.136	0.076	4110.000
19.513	1.863	-25.831	0.109	0.216	0.129	4482.000
13.571	2.078	-23.893	0.126	0.137	0.049	5033.000
17.837	1.713	-25.044	0.127	0.201	0.112	5306.000
13.458	1.714	-23.769	0.080	0.147	0.037	5531.000
17.543	1.173	-24.856	0.122	0.243	0.017	6297.000
15.128	1.694	-24.842	0.109	0.213	0.156	6495.000
14.365	1.515	-22.663	0.088	0.195	0.018	6869.000
13.864	0.675	-21.854	0.092	0.188	0.023	7128.000
15.017	1.821	-22.311	0.091	0.265	0.123	7261.000
16.829	2.049	-23.637	0.079	0.252	0.027	7261.000
17.924	1.957	-24.040	0.086	0.288	0.057	7678.000
13.040	3.403	-22.356	0.092	0.084	0.067	7768.000
5.558	2.756	-21.320	0.073	0.150	-0.049	7879.000
4.472	0.428	-21.735	0.058	0.068	-0.032	7924.000
4.208	3.095	-19.748	0.063	0.014	0.028	7924.000
3.173	2.071	-18.713	0.056	0.009	-0.017	7997.000
3.471	2.107	-19.610	0.067	0.016	-0.015	7962.000
-5.024	1.419	-18.867	0.083	-0.150	-0.044	7945.000
-6.137	2.698	-17.234	0.062	-0.292	-0.068	7793.000
-11.614	0.733	-18.936	0.038	-0.252	-0.100	7678.000
-3.451	2.849	-15.634	0.050	-0.263	-0.066	7635.000
-9.441	2.163	-25.746	0.051	-0.156	-0.095	7313.000
1.257	1.804	-12.794	0.058	-0.103	-0.063	7144.000
-8.505	4.347	-26.917	0.045	-0.266	-0.018	6876.000
-4.150	3.003	-17.009	0.064	-0.124	-0.063	6703.000
-3.201	2.155	-23.340	0.046	-0.189	-0.102	6406.000
-5.217	4.008	-19.481	0.053	-0.144	-0.082	6001.000
-0.371	3.032	-18.387	0.052	-0.087	-0.119	5648.000
-3.889	4.951	-30.182	0.061	-0.218	-0.157	5648.000
2.649	0.973	-17.352	0.016	-0.199	-0.006	4698.000
1.377	2.175	-9.234	0.033	-0.072	0.019	4368.000
-6.553	3.270	-11.173	-0.001	-0.105	-0.093	4368.000
-0.291	3.249	-15.673	-0.009	-0.126	-0.071	3262.000
2.127	2.495	-19.678	0.054	-0.185	0.009	2938.000
1.752	3.293	-12.353	-0.017	-0.122	-0.037	2454.000
-2.511	2.149	-6.989	0.033	-0.104	-0.026	1986.000
-4.310	3.786	-5.362	-0.009	-0.092	-0.003	1705.000
-4.849	2.238	-7.223	0.016	-0.119	-0.046	1374.000
-3.369	2.209	-10.216	0.006	-0.146	-0.129	1245.000
-4.794	2.418	-15.830	0.016	-0.257	-0.019	890.000
-2.600	3.378	-11.141	0.037	-0.237	-0.074	679.000
-4.895	1.515	-11.246	0.034	-0.238	-0.071	442.000
-9.769	2.579	-16.312	0.022	-0.355	-0.020	384.000
-5.975	4.178	-11.707	0.046	-0.253	-0.004	181.000
-9.100	2.872	-20.806	0.048	-0.345	-0.148	144.000
-4.246	5.944	-15.877	0.046	-0.484	-0.109	25.000
-9.451	3.464	-17.863	0.056	-0.478	-0.086	0.000
-10.254	3.162	-20.663	0.048	-0.491	-0.122	1.000
-7.085	3.899	-18.833	0.062	-0.466	-0.055	19.000
-4.238	2.872	-19.161	0.098	-0.438	-0.018	105.000
2.984	3.137	-23.122	0.070	-0.247	-0.001	105.000
7.354	1.129	-22.530	0.078	-0.097	0.057	334.000
12.332	3.859	-19.890	0.109	-0.039	0.027	334.000
12.434	1.059	-23.775	0.091	-0.029	0.059	644.000
11.980	2.293	-20.707	0.084	0.005	0.059	863.000
10.988	2.108	-18.512	0.073	0.048	0.027	1152.000
8.808	1.472	-16.481	0.047	0.016	0.009	1388.000
9.014	1.468	-14.945	0.049	0.040	0.032	1388.000
9.004	2.451	-14.298	0.035	0.040	0.010	2044.000
8.886	1.880	-15.753	0.049	0.034	0.013	2412.000
9.981	1.945	-17.012	0.064	0.045	0.032	2866.000
13.687	1.426	-18.714	0.062	0.118	0.099	3219.000
11.217	1.601	-20.088	0.082	0.102	0.032	3548.000
14.299	0.321	-21.433	0.082	0.136	0.041	4109.000
14.625	1.594	-21.778	0.083	0.132	0.089	4690.000
16.503	1.704	-23.909	0.087	0.210	0.069	5020.000
15.647	1.473	-24.010	0.093	0.184	0.003	5540.000
15.012	2.179	-22.518	0.096	0.198	0.060	6009.000
14.232	2.585	-22.231	0.095	0.209	0.080	6009.000
15.369	1.702	-23.781	0.091	0.221	0.038	6596.000
15.923	1.689	-23.811	0.095	0.246	0.039	6912.000
15.438	1.558	-24.256	0.111	0.256	0.106	7174.000
14.131	1.106	-24.386	0.109	0.234	0.028	7371.000
14.808	1.969	-22.221	0.097	0.262	0.033	7502.000
14.033	1.109	-24.478	0.092	0.233	0.072	7502.000
16.425	4.263	-26.657	0.094	0.198	0.027	7823.000
12.249	2.720	-20.602	0.081	0.265	0.011	7916.000
13.368	2.246	-21.115	0.066	0.198	0.076	7969.000
9.904	1.533	-18.111	0.052	0.205	-0.022	7998.000
9.499	1.321	-17.633	0.058	0.145	0.016	7998.000
8.962	2.430	-17.756	0.057	0.139	0.027	7998.000
9.335	1.592	-18.843	0.061	0.139	0.010	7998.000
9.207	1.682	-17.275	0.063	0.140	0.023	7998.000
7.937	1.700	-17.147	0.045	0.128	0.017	7998.000
4.995	1.324	-15.408	0.059	0.063	0.002	7958.000
-2.145	1.542	-14.992	0.062	-0.110	-0.003	7924.000
-6.192	-0.112	-14.052	0.076	-0.162	-0.060	7792.000
-9.559	3.573	-19.013	0.051	-0.271	-0.104	7764.000
-5.207	2.670	-14.790	0.057	-0.183	-0.084	7599.000
-7.295	2.415	-21.496	0.045	-0.268	-0.122	7599.000
-4.562	2.990	-10.603	0.041	-0.100	-0.075	7103.000
-9.659	5.258	-30.997	0.083	-0.219	-0.067	6884.000
-4.449	1.982	-15.544	0.028	-0.229	-0.029	6694.000
-0.696	3.379	-12.161	0.058	-0.173	-0.055	6371.000
-2.033	1.505	-22.535	0.033	-0.165	-0.232	5888.000
0.370	1.390	-28.619	0.082	-0.137	-0.071	5640.000
0.375	4.738	-27.712	0.032	-0.183	0.005	5210.000
-1.244	2.567	-27.592	0.089	-0.190	-0.096	4753.000
-0.633	-0.901	-20.882	0.054	-0.221	-0.136	4259.000
-5.462	2.132	-8.015	0.042	-0.317	-0.005	3718.000
-9.794	3.580	-6.104	0.038	-0.315	0.066	3178.000
-10.021	2.691	-12.860	0.074	-0.378	0.064	2735.000
-3.294	0.829	-15.940	0.061	-0.406	-0.002	2353.000
-0.152	2.504	-16.210	0.074	-0.333	-0.044	2353.000
3.510	4.358	-23.326	0.054	-0.317	-0.021	1745.000
-4.577	1.482	-17.812	-0.006	-0.365	-0.081	1382.000
2.863	0.851	-13.594	0.031	-0.153	-0.102	1111.000
-3.066	4.235	-20.535	0.041	-0.338	-0.048	863.000
-4.935	1.409	-13.750	0.016	-0.327	-0.085	696.000
-5.366	2.569	-15.221	0.043	-0.252	-0.052	696.000
-2.807	3.704	-17.866	0.043	-0.339	-0.016	356.000
-4.521	0.200	-11.751	0.036	-0.236	-0.107	160.000
-5.883	5.675	-14.189	0.048	-0.375	-0.048	160.000
-5.604	3.851	-15.419	0.031	-0.367	-0.052	160.000
-7.016	1.745	-16.119	0.025	-0.360	-0.142	0.000
-5.495	3.465	-17.294	0.064	-0.399	-0.028	1.000
-2.724	2.456	-16.392	0.093	-0.355	-0.058	62.000
4.435	3.142	-20.330	0.070	-0.316	-0.001	141.000
4.751	1.016	-22.066	0.051	0.130	0.049	250.000
12.949	1.405	-20.827	0.094	-0.046	0.017	409.000
12.279	2.435	-22.777	0.090	0.038	0.054	462.000
13.668	2.034	-22.740	0.084	0.070	0.062	662.000
14.978	1.574	-21.975	0.092	0.074	0.039	662.000
13.062	1.998	-22.957	0.104	0.055	0.065	1286.000
15.646	1.913	-22.863	0.085	0.061	0.034	1628.000
14.806	1.994	-23.872	0.102	0.070	0.096	1977.000
14.286	1.664	-22.245	0.103	0.066	0.070	1977.000
14.768	1.501	-23.748	0.106	0.106	0.063	2643.000
15.211	2.712	-23.551	0.093	0.170	0.078	3154.000
17.823	2.290	-25.682	0.106	0.152	0.079	3610.000
16.494	1.765	-23.558	0.108	0.196	0.048	3737.000
17.851	1.111	-25.058	0.094	0.187	0.083	3737.000
18.737	1.392	-24.896	0.111	0.244	0.091	5001.000
17.628	2.408	-24.286	0.089	0.284	0.055	5384.000
14.445	1.441	-21.154	0.080	0.167	0.042	5384.000
15.025	1.784	-22.525	0.085	0.193	0.065	5384.000
14.651	1.699	-23.542	0.089	0.178	0.081	6474.000
11.955	1.404	-21.449	0.092	0.141	0.036	6778.000
11.680	2.710	-19.348	0.101	0.210	0.052	6948.000
10.917	1.601	-21.061	0.097	0.151	0.044	7134.000
15.714	1.347	-23.934	0.109	0.168	0.071	7134.000
12.207	1.350	-23.656	0.086	0.162	0.060	7657.000
13.411	1.149	-22.630	0.091	0.202	0.035	7774.000
14.031	2.395	-19.325	0.089	0.189	0.005	7774.000
13.882	0.660	-23.475	0.060	0.224	0.091	7942.000
13.059	2.651	-18.558	0.051	0.237	-0.019	7962.000
