Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
0.025	2.016	-23.290	0.023	0.062	0.003	0.000
0.094	1.950	-23.524	0.026	0.066	0.000	0.000
0.169	1.827	-23.395	0.026	0.066	0.003	0.000
0.981	1.736	-23.013	0.026	0.088	0.003	0.000
0.811	1.187	-21.848	0.045	0.120	0.007	0.000
3.161	0.382	-22.969	0.068	0.101	0.016	131.000
7.274	0.167	-22.965	0.083	0.063	0.016	215.000
2.480	-0.879	-23.241	0.085	0.220	-0.018	368.000
5.298	-0.436	-22.618	0.089	0.214	0.015	434.000
5.815	-0.528	-24.044	0.083	0.241	0.005	704.000
7.172	-0.411	-23.126	0.083	0.258	0.018	843.000
5.875	-0.310	-24.615	0.084	0.241	0.007	843.000
9.585	0.091	-23.457	0.073	0.299	0.036	843.000
6.469	-0.644	-24.066	0.073	0.271	0.005	1839.000
8.934	-0.046	-22.773	0.074	0.315	0.027	2146.000
9.586	-0.539	-22.768	0.064	0.352	0.036	2146.000
10.852	0.406	-22.585	0.062	0.362	0.023	2146.000
11.411	-0.182	-22.688	0.075	0.359	0.021	3521.000
11.446	0.266	-20.232	0.066	0.378	0.041	3855.000
12.673	0.023	-19.074	0.066	0.382	0.040	3855.000
11.976	-0.187	-20.015	0.067	0.378	0.044	3855.000
13.031	-1.012	-17.374	0.071	0.397	0.009	5379.000
10.688	-0.325	-19.728	0.079	0.387	0.058	5789.000
13.099	-1.023	-16.594	0.076	0.402	0.028	6015.000
14.085	-0.850	-15.023	0.066	0.410	0.026	6015.000
14.605	-0.800	-13.873	0.060	0.416	0.040	6015.000
14.674	-0.395	-14.152	0.066	0.414	0.028	6015.000
13.546	-1.252	-13.250	0.065	0.427	0.043	7248.000
13.564	-0.872	-16.064	0.069	0.405	0.012	7374.000
9.436	-0.785	-18.271	0.075	0.407	0.041	7374.000
7.618	0.122	-22.700	0.083	0.380	0.001	7374.000
5.254	-0.170	-21.623	0.085	0.401	0.013	7861.000
3.998	-0.376	-22.408	0.081	0.403	-0.025	7890.000
6.541	-1.273	-23.119	0.077	0.383	0.010	7890.000
3.968	-0.195	-25.513	0.086	0.376	-0.005	7890.000
4.404	-0.436	-23.494	0.082	0.390	0.025	8000.000
3.342	-0.560	-25.575	0.077	0.379	-0.015	7999.000
-2.083	-0.154	-25.984	0.086	0.317	-0.001	7976.000
-8.178	-0.056	-25.732	0.076	0.149	-0.014	7976.000
0.773	1.448	-24.012	0.081	0.136	-0.004	7976.000
-8.070	-0.320	-25.399	0.083	0.199	-0.028	7634.000
-4.604	0.032	-22.194	0.077	0.166	-0.019	7634.000
-8.036	-0.247	-24.755	0.083	0.135	-0.022	7634.000
-7.026	-0.501	-22.252	0.073	0.104	-0.023	6972.000
-6.786	-0.865	-21.844	0.086	0.073	-0.024	6903.000
-9.001	0.058	-21.823	0.080	0.068	-0.039	6381.000
-6.534	-0.036	-21.990	0.070	0.091	-0.010	6301.000
-4.461	-0.571	-20.096	0.071	0.105	-0.031	6301.000
-3.733	-0.572	-22.217	0.079	0.104	-0.000	6301.000
-3.265	-0.279	-19.299	0.076	0.129	-0.014	6301.000
-4.374	0.085	-22.713	0.074	0.135	-0.029	4383.000
0.394	-0.061	-17.535	0.070	0.140	0.004	3923.000
-0.810	-0.869	-15.559	0.066	0.105	-0.023	3923.000
1.655	-0.152	-15.090	0.068	0.114	-0.012	3110.000
-2.832	-0.339	-16.759	0.053	0.040	0.012	2736.000
-1.559	0.267	-16.959	0.055	0.078	-0.022	2736.000
-2.302	-0.418	-15.765	0.072	0.053	-0.033	2736.000
0.031	-0.362	-12.379	0.052	0.029	0.012	2736.000
-0.241	-0.510	-12.344	0.056	0.043	-0.030	1165.000
-1.254	-0.532	-13.723	0.051	0.028	-0.015	883.000
-3.137	-0.217	-16.824	0.055	0.010	-0.001	715.000
-2.087	0.008	-16.964	0.065	-0.023	-0.016	507.000
-2.242	-0.189	-16.095	0.070	0.008	-0.007	437.000
-3.421	-0.399	-15.067	0.056	0.015	-0.010	437.000
-0.533	0.387	-14.000	0.052	-0.074	-0.011	437.000
-3.600	0.526	-15.259	0.060	0.062	-0.008	62.000
-1.190	-0.574	-16.076	0.059	-0.027	-0.003	62.000
-0.502	0.074	-17.326	0.071	0.011	-0.012	0.000
0.144	-0.143	-18.407	0.069	0.057	-0.008	0.000
1.759	-0.783	-18.441	0.076	0.076	-0.002	0.000
-0.974	-0.205	-18.165	0.059	0.039	0.007	0.000
-4.879	-1.161	-17.880	0.044	0.115	-0.020	246.000
6.915	0.550	-16.122	0.061	0.086	0.021	325.000
3.664	0.134	-21.207	0.061	0.151	-0.012	412.000
4.111	-0.223	-18.787	0.067	0.168	0.018	707.000
6.363	0.008	-22.562	0.073	0.228	0.015	963.000
7.238	-0.159	-21.755	0.069	0.247	0.006	963.000
7.901	0.079	-21.981	0.073	0.274	0.042	963.000
6.469	-0.485	-22.003	0.072	0.242	0.001	1887.000
8.111	-0.385	-22.206	0.072	0.300	0.039	2018.000
9.208	-0.425	-22.882	0.068	0.342	0.005	2603.000
11.257	0.064	-23.252	0.072	0.354	0.028	2984.000
9.465	-0.226	-23.197	0.070	0.364	0.044	3429.000
10.711	-0.077	-19.871	0.067	0.387	0.022	3589.000
11.070	-0.585	-20.014	0.066	0.382	0.061	4437.000
10.271	-0.547	-19.676	0.068	0.392	-0.013	4925.000
13.474	-0.633	-16.493	0.063	0.398	0.088	4925.000
11.998	-0.711	-17.865	0.066	0.398	-0.009	4925.000
13.879	-0.564	-15.384	0.066	0.407	0.048	6126.000
13.744	-0.580	-15.424	0.071	0.407	0.049	6446.000
12.397	-0.595	-15.877	0.076	0.411	0.028	6633.000
12.362	-0.814	-15.322	0.082	0.417	0.027	6872.000
12.877	-0.177	-15.999	0.077	0.406	0.058	7051.000
10.866	-0.747	-18.555	0.074	0.398	0.017	7051.000
6.228	-0.487	-21.225	0.076	0.400	-0.000	7590.000
